trialJobId,default,-latency,-dram,search_k,recall,n_trees
DWEOu,0.017213955326080322,-9.402682900428772,-2154.2626953125,8500,0.8858416666666665,40
MQZ7n,0.010653456784354294,-11.20277335246404,-2130.4352213541665,9000,0.8916416666666667,40
qXWxk,0.015410897232691444,-10.811753690242767,-2126.4645182291665,9500,0.895775,40
PK80j,0.014826733802159648,-10.94958621263504,-2137.4905598958335,10000,0.9001416666666665,40
Z3Clf,-0.08948116146087648,-10.950129727522532,-2188.0286458333335,-1,0.6236833333333333,50
NlC6o,-0.17703386192215811,-2.703391452630361,-2180.1656901041665,50,0.31668333333333326,50
KRIyX,-0.13854638885921905,-0.681116501490275,-2195.2981770833335,100,0.38425000000000004,50
WkcS6,-0.11040989846971305,-0.834838072458903,-2182.5813802083335,200,0.4531166666666666,50
bZkVJ,-0.09227899623870849,-0.9920351505279541,-2182.2955729166665,300,0.5010166666666668,50
fEOfd,-0.08308129772504175,-1.1755509972572327,-2201.9931640625,400,0.5335166666666666,50
DdWod,-0.07011940897199843,-1.248975356419881,-2178.6901041666665,500,0.558975,50
diSCJ,-0.0619739723110199,-1.3985357880592346,-2198.0999348958335,600,0.5866916666666667,50
ARc3o,-0.05257209510909188,-1.548624614874522,-2200.9977213541665,700,0.6120666666666666,50
lUiIa,-0.044546558976703225,-1.6918055017789204,-2193.2451171875,800,0.6308666666666668,50
aNNVc,-0.038224999600516424,-1.8209397594134014,-2201.6142578125,900,0.6500333333333335,50
ZSGzW,-0.03217376899719237,-1.952725887298584,-2195.7125651041665,1000,0.6647916666666667,50
JStTY,-0.01585997293048434,-2.5551499923070273,-2206.4440104166665,1500,0.7168666666666668,50
Fs32Z,-0.008520263424979328,-3.135338524977366,-2218.6263020833335,2000,0.7469666666666667,50
cn1AC,-0.008064668360816105,-4.493523160616557,-2231.8509114583335,2500,0.7735499999999998,50
v3Lgp,-0.0018001147884792689,-4.8734761873881025,-2234.1282552083335,3000,0.7948666666666667,50
k0zrK,0.0007386770979563514,-5.577750742435455,-2228.0813802083335,3500,0.8104,50
XUSDg,0.0022183191786871886,-5.942946871121724,-2238.8177083333335,4000,0.8230583333333333,50
e6iYv,0.00031751303778753775,-6.581686337788899,-2257.2177734375,4500,0.8342250000000001,50
wZO50,0.001526031464470776,-7.449759403864543,-2234.3388671875,5000,0.84395,50
GuxYO,0.001730342991087164,-8.006110767523447,-2230.3020833333335,5500,0.8516499999999999,50
n44Lc,0.0005439947064717529,-8.537092566490173,-2242.35546875,6000,0.8611499999999999,50
p6Pji,0.002685317341486621,-8.568141043186188,-2246.7789713541665,6500,0.8680833333333333,50
XIgJn,-0.003508050923877281,-10.007922192414602,-2240.5927734375,7000,0.8740833333333334,50
